Campaign_ID,Campaign_Type,Channel,Budget,Impressions,Clicks,Conversions,Cost_Per_Click,Date,CTR,Conversion_Rate,ROI
CMP_0076,Influencer,Facebook,2108,69074,1508,32,0.71,2024-11-13,2.18,2.12,-24.1
CMP_0077,Email_Campaign,Facebook,5258,48602,2191,162,1.36,2024-03-01,4.51,7.39,54.05
CMP_0078,Google_Ads,Email,1145,72783,2021,100,2.91,2024-11-09,2.78,4.95,336.68
CMP_0079,Email_Campaign,LinkedIn,1041,91872,1081,104,1.11,2024-08-13,1.18,9.62,399.52
CMP_0080,Google_Ads,Email,3010,44621,1405,52,1.27,2024-05-01,3.15,3.7,-13.62
CMP_0081,Email_Campaign,Email,3988,88462,1743,205,1.11,2024-08-12,1.97,11.76,157.02
CMP_0082,Content_Marketing,Instagram,8780,62432,2369,140,1.08,2024-08-03,3.79,5.91,-20.27
CMP_0083,Influencer,Twitter,3991,80643,3332,256,0.99,2024-01-26,4.13,7.68,220.72
CMP_0084,Social_Media,Instagram,3819,35772,380,44,0.65,2024-01-25,1.06,11.58,-42.39
CMP_0085,Google_Ads,Facebook,4037,16169,802,40,1.53,2024-06-01,4.96,4.99,-50.46
CMP_0086,Influencer,LinkedIn,6544,16943,254,8,3.43,2024-01-05,1.5,3.15,-93.89
CMP_0087,Social_Media,Facebook,788,68572,2997,184,3.94,2024-10-04,4.37,6.14,1067.51
CMP_0088,Google_Ads,Twitter,5636,62479,738,48,3.49,2024-04-01,1.18,6.5,-57.42
CMP_0089,Email_Campaign,Twitter,9246,39241,827,99,4.67,2024-07-14,2.11,11.97,-46.46
CMP_0090,Social_Media,Email,5034,85396,2031,281,1.98,2024-06-03,2.38,13.84,179.1
CMP_0091,Google_Ads,LinkedIn,7884,94033,1845,215,2.6,2024-04-30,1.96,11.65,36.35
CMP_0092,Email_Campaign,Google,7828,67565,2128,207,3.21,2024-04-11,3.15,9.73,32.22
CMP_0093,Content_Marketing,Google,8810,13603,197,22,1.16,2024-03-16,1.45,11.17,-87.51
CMP_0094,Social_Media,Twitter,3652,83315,893,49,1.82,2024-06-24,1.07,5.49,-32.91
CMP_0095,Email_Campaign,Twitter,9913,81261,875,30,0.67,2024-01-12,1.08,3.43,-84.87
CMP_0096,Social_Media,Facebook,1287,32413,383,52,2.68,2024-07-06,1.18,13.58,102.02
CMP_0097,Email_Campaign,Instagram,4043,33576,1447,172,1.97,2024-01-21,4.31,11.89,112.71
CMP_0098,Social_Media,Instagram,1964,96206,2524,305,2.45,2024-01-04,2.62,12.08,676.48
CMP_0099,Google_Ads,Google,7831,25083,875,60,0.75,2024-05-27,3.49,6.86,-61.69
CMP_0100,Social_Media,Email,7177,71634,1094,150,1.44,2024-08-15,1.53,13.71,4.5
CMP_0101,Content_Marketing,Facebook,4374,38077,1596,195,1.95,2024-08-27,4.19,12.22,122.91
CMP_0102,Google_Ads,Google,9758,41766,1970,133,3.85,2024-04-21,4.72,6.75,-31.85
CMP_0103,Content_Marketing,Twitter,2689,11639,545,31,3.95,2024-05-05,4.68,5.69,-42.36
CMP_0104,Social_Media,Facebook,3923,57569,768,22,4.53,2024-06-21,1.33,2.86,-71.96
CMP_0105,Influencer,Facebook,7288,1331,66,8,3.43,2024-10-28,4.96,12.12,-94.51
CMP_0106,Email_Campaign,LinkedIn,6581,75595,2620,123,1.37,2024-03-04,3.47,4.69,-6.55
CMP_0107,Google_Ads,Instagram,9802,61311,2714,325,1.61,2024-12-24,4.43,11.97,65.78
CMP_0108,Content_Marketing,Facebook,5712,68540,2785,399,0.57,2024-08-21,4.06,14.33,249.26
CMP_0109,Influencer,Facebook,9102,72650,816,20,4.46,2024-06-20,1.12,2.45,-89.01
CMP_0110,Influencer,Facebook,1147,47785,1644,150,1.8,2024-07-26,3.44,9.12,553.88
CMP_0111,Influencer,Facebook,6881,56053,874,82,2.13,2024-07-28,1.56,9.38,-40.42
CMP_0112,Google_Ads,Facebook,700,10703,509,53,4.91,2024-03-17,4.76,10.41,278.57
CMP_0113,Google_Ads,LinkedIn,2897,42435,1161,80,2.75,2024-11-23,2.74,6.89,38.07
CMP_0114,Google_Ads,Email,2810,61451,2628,94,2.03,2024-12-10,4.28,3.58,67.26
CMP_0115,Social_Media,Google,7589,2063,73,1,4.3,2024-12-11,3.54,1.37,-99.34
CMP_0116,Email_Campaign,Instagram,7496,49223,2275,330,2.72,2024-08-18,4.62,14.51,120.12
CMP_0117,Email_Campaign,Email,9441,56782,1928,120,3.89,2024-05-17,3.4,6.22,-36.45
CMP_0118,Influencer,Facebook,4788,59824,1270,168,2.39,2024-02-11,2.12,13.23,75.44
CMP_0119,Email_Campaign,LinkedIn,2088,85980,969,99,4.92,2024-10-21,1.13,10.22,137.07
CMP_0120,Email_Campaign,Twitter,4347,41264,1633,38,4.0,2024-07-12,3.96,2.33,-56.29
CMP_0121,Email_Campaign,Facebook,1320,3728,77,3,0.57,2024-08-23,2.07,3.9,-88.64
CMP_0122,Email_Campaign,Google,8512,43074,1496,60,3.42,2024-01-09,3.47,4.01,-64.76
CMP_0123,Email_Campaign,Instagram,7532,54608,2400,80,1.56,2024-12-06,4.39,3.33,-46.89
CMP_0124,Social_Media,Google,4868,43390,673,96,1.89,2024-09-25,1.55,14.26,-1.4
CMP_0125,Social_Media,Twitter,4130,67376,794,33,4.34,2024-05-05,1.18,4.16,-60.05
CMP_0126,Google_Ads,Email,6999,86553,3835,388,2.89,2024-03-16,4.43,10.12,177.18
CMP_0127,Social_Media,Instagram,5033,80314,1084,117,3.51,2024-05-09,1.35,10.79,16.23
CMP_0128,Social_Media,Email,8566,27909,919,123,4.11,2024-06-12,3.29,13.38,-28.2
CMP_0129,Social_Media,Email,6590,32966,1043,73,3.08,2024-04-20,3.16,7.0,-44.61
CMP_0130,Content_Marketing,Facebook,8612,63158,3063,370,0.53,2024-12-30,4.85,12.08,114.82
CMP_0131,Email_Campaign,Instagram,5963,23332,347,22,4.58,2024-10-02,1.49,6.34,-81.55
CMP_0132,Influencer,Google,6776,92551,3482,288,4.45,2024-08-09,3.76,8.27,112.51
CMP_0133,Google_Ads,Facebook,6695,73529,1073,88,3.96,2024-08-09,1.46,8.2,-34.28
CMP_0134,Content_Marketing,Facebook,5618,49668,2044,294,0.71,2024-10-10,4.12,14.38,161.66
CMP_0135,Influencer,Facebook,6740,56361,2604,62,3.78,2024-02-11,4.62,2.38,-54.01
CMP_0136,Social_Media,Facebook,7099,84251,3653,374,1.55,2024-08-11,4.34,10.24,163.42
CMP_0137,Social_Media,LinkedIn,8578,90143,1518,204,4.77,2024-01-11,1.68,13.44,18.91
CMP_0138,Influencer,Twitter,7161,23645,952,125,2.49,2024-07-11,4.03,13.13,-12.72
CMP_0139,Influencer,LinkedIn,2294,92706,1101,98,3.92,2024-02-26,1.19,8.9,113.6
CMP_0140,Social_Media,LinkedIn,4205,60495,724,32,1.28,2024-10-13,1.2,4.42,-61.95
CMP_0141,Influencer,Email,8157,98114,2149,290,2.37,2024-09-23,2.19,13.49,77.76
CMP_0142,Content_Marketing,Email,4118,97204,3434,150,1.31,2024-04-24,3.53,4.37,82.13
CMP_0143,Content_Marketing,Google,3771,34956,1450,49,4.08,2024-08-21,4.15,3.38,-35.03
CMP_0144,Influencer,LinkedIn,7471,37236,1324,173,4.26,2024-09-17,3.56,13.07,15.78
CMP_0145,Influencer,Instagram,1128,93195,2304,332,1.87,2024-07-27,2.47,14.41,1371.63
CMP_0146,Email_Campaign,Google,9447,45837,1693,85,1.38,2024-02-02,3.69,5.02,-55.01
CMP_0147,Social_Media,LinkedIn,4278,64206,840,86,4.61,2024-03-27,1.31,10.24,0.51
CMP_0148,Email_Campaign,Instagram,2823,93802,3448,416,3.66,2024-04-15,3.68,12.06,636.8
CMP_0149,Content_Marketing,Google,5671,65857,2324,152,3.09,2024-06-04,3.53,6.54,34.02
CMP_0150,Email_Campaign,Instagram,8972,33983,1047,63,1.43,2024-06-17,3.08,6.02,-64.89
CMP_0151,Content_Marketing,LinkedIn,3385,5515,55,7,4.32,2024-06-29,1.0,12.73,-89.66
CMP_0152,Google_Ads,Instagram,2865,51773,1101,89,2.23,2024-03-11,2.13,8.08,55.32
CMP_0153,Influencer,Email,3775,39934,584,76,1.64,2024-06-08,1.46,13.01,0.66
CMP_0154,Google_Ads,Twitter,2268,9124,144,16,2.95,2024-04-23,1.58,11.11,-64.73
CMP_0155,Influencer,Instagram,6371,99142,1955,274,1.96,2024-08-17,1.97,14.02,115.04
CMP_0156,Content_Marketing,LinkedIn,2396,72976,2796,398,1.55,2024-04-23,3.83,14.23,730.55
CMP_0157,Influencer,Instagram,728,14162,365,34,2.98,2024-12-13,2.58,9.32,133.52
CMP_0158,Google_Ads,Email,9344,53407,1671,121,3.96,2024-10-20,3.13,7.24,-35.25
CMP_0159,Google_Ads,Facebook,2886,37637,1702,140,1.3,2024-11-26,4.52,8.23,142.55
CMP_0160,Email_Campaign,Twitter,3532,87319,3772,407,2.4,2024-10-19,4.32,10.79,476.16
CMP_0161,Email_Campaign,Email,6511,83047,1662,103,4.25,2024-04-14,2.0,6.2,-20.9
CMP_0162,Email_Campaign,Email,2844,64079,2819,351,1.72,2024-09-06,4.4,12.45,517.09
CMP_0163,Google_Ads,LinkedIn,8282,87981,1779,248,1.45,2024-03-07,2.02,13.94,49.72
CMP_0164,Google_Ads,Email,9984,1138,38,1,3.23,2024-06-16,3.34,2.63,-99.5
CMP_0165,Social_Media,Email,4125,94442,2417,187,2.2,2024-05-29,2.56,7.74,126.67
CMP_0166,Social_Media,Email,6774,53120,2473,334,4.85,2024-06-28,4.66,13.51,146.53
CMP_0167,Email_Campaign,Twitter,9953,68948,2846,76,2.71,2024-03-17,4.13,2.67,-61.82
CMP_0168,Influencer,Twitter,6571,31888,450,55,2.21,2024-04-12,1.41,12.22,-58.15
CMP_0169,Content_Marketing,Email,1278,11532,519,29,1.08,2024-06-29,4.5,5.59,13.46
CMP_0170,Email_Campaign,Twitter,7561,60275,1245,169,3.63,2024-07-08,2.07,13.57,11.76
CMP_0171,Content_Marketing,Instagram,3936,34093,803,110,4.53,2024-08-09,2.36,13.7,39.74
CMP_0172,Social_Media,Instagram,7940,41797,1973,42,3.83,2024-04-03,4.72,2.13,-73.55
CMP_0173,Email_Campaign,Facebook,9556,43192,1961,79,4.08,2024-01-29,4.54,4.03,-58.66
CMP_0174,Content_Marketing,Email,8092,58345,1625,194,1.26,2024-08-10,2.79,11.94,19.87
CMP_0175,Social_Media,Email,7391,93201,2366,137,3.01,2024-03-03,2.54,5.79,-7.32
CMP_0176,Influencer,LinkedIn,7210,85543,2998,288,0.94,2024-09-14,3.5,9.61,99.72
CMP_0177,Email_Campaign,Twitter,2332,48292,1800,112,3.45,2024-02-17,3.73,6.22,140.14
CMP_0178,Social_Media,Instagram,9580,15895,403,15,4.55,2024-01-21,2.54,3.72,-92.17
CMP_0179,Content_Marketing,Google,7404,25938,425,9,0.61,2024-01-05,1.64,2.12,-93.92
CMP_0180,Google_Ads,Twitter,5960,30324,1313,100,1.2,2024-02-26,4.33,7.62,-16.11
CMP_0181,Email_Campaign,Facebook,2449,21974,942,69,3.33,2024-07-11,4.29,7.32,40.87
CMP_0182,Social_Media,Facebook,2445,69534,1140,153,3.43,2024-07-04,1.64,13.42,212.88
CMP_0183,Social_Media,Google,4900,7549,305,23,3.32,2024-01-21,4.04,7.54,-76.53
CMP_0184,Content_Marketing,Instagram,5450,54493,1051,144,1.02,2024-11-10,1.93,13.7,32.11
CMP_0185,Social_Media,Instagram,2635,12433,430,36,3.69,2024-04-17,3.46,8.37,-31.69
CMP_0186,Social_Media,Email,3701,54773,2140,255,4.52,2024-06-05,3.91,11.92,244.5
CMP_0187,Influencer,Instagram,3757,64241,917,26,3.58,2024-08-04,1.43,2.84,-65.4
CMP_0188,Influencer,Facebook,8615,81801,2546,334,4.36,2024-04-29,3.11,13.12,93.85
CMP_0189,Social_Media,Google,7663,20647,501,71,4.03,2024-05-23,2.43,14.17,-53.67
CMP_0190,Content_Marketing,Facebook,9615,74959,830,94,4.94,2024-12-28,1.11,11.33,-51.12
CMP_0191,Influencer,Twitter,6476,34253,464,64,2.62,2024-03-22,1.35,13.79,-50.59
CMP_0192,Email_Campaign,Twitter,7072,73028,1099,63,4.97,2024-02-18,1.5,5.73,-55.46
CMP_0193,Content_Marketing,Email,7241,92914,3016,302,3.89,2024-03-10,3.25,10.01,108.53
CMP_0194,Email_Campaign,Twitter,4576,64397,1678,187,4.37,2024-12-05,2.61,11.14,104.33
CMP_0195,Google_Ads,Google,5749,34196,712,20,0.9,2024-05-07,2.08,2.81,-82.61
CMP_0196,Influencer,Twitter,9539,54010,1069,147,4.17,2024-07-22,1.98,13.75,-22.95
CMP_0197,Email_Campaign,Twitter,7701,60631,1843,109,4.56,2024-08-29,3.04,5.91,-29.23
CMP_0198,Content_Marketing,Twitter,5718,16486,525,72,0.57,2024-08-03,3.18,13.71,-37.04
CMP_0199,Social_Media,Google,9801,54213,1148,33,3.06,2024-07-12,2.12,2.87,-83.16
CMP_0200,Content_Marketing,LinkedIn,5309,70461,1716,232,3.83,2024-06-15,2.44,13.52,118.5
CMP_0201,Google_Ads,Facebook,8407,83787,1420,129,0.6,2024-07-09,1.69,9.08,-23.28
CMP_0202,Content_Marketing,Instagram,9450,33294,1045,66,1.01,2024-10-10,3.14,6.32,-65.08
CMP_0203,Google_Ads,Facebook,3311,33366,1659,70,2.67,2024-06-18,4.97,4.22,5.71
CMP_0204,Email_Campaign,Google,8803,34040,1255,178,1.37,2024-10-04,3.69,14.18,1.1
CMP_0205,Email_Campaign,Google,8911,40131,497,43,4.34,2024-09-17,1.24,8.65,-75.87
CMP_0206,Email_Campaign,Email,5484,18039,313,38,1.19,2024-10-15,1.74,12.14,-65.35
CMP_0207,Google_Ads,Instagram,4258,71038,2258,162,4.4,2024-05-19,3.18,7.17,90.23
CMP_0208,Google_Ads,Facebook,5806,85754,2328,161,0.55,2024-08-07,2.71,6.92,38.65
CMP_0209,Google_Ads,Twitter,1418,32406,965,75,3.75,2024-09-17,2.98,7.77,164.46
CMP_0210,Google_Ads,Facebook,2704,89281,2443,249,0.54,2024-08-13,2.74,10.19,360.43
CMP_0211,Social_Media,LinkedIn,3705,18840,553,25,2.87,2024-03-18,2.94,4.52,-66.26
CMP_0212,Content_Marketing,Email,4095,35966,1022,137,2.92,2024-07-25,2.84,13.41,67.28
CMP_0213,Google_Ads,Instagram,2693,36471,1806,130,2.11,2024-01-21,4.95,7.2,141.37
CMP_0214,Email_Campaign,Twitter,5092,34122,1059,64,1.4,2024-01-02,3.1,6.04,-37.16
CMP_0215,Influencer,Email,5083,14174,494,62,3.41,2024-01-02,3.49,12.55,-39.01
CMP_0216,Social_Media,Google,6664,37023,641,43,4.29,2024-09-20,1.73,6.71,-67.74
CMP_0217,Google_Ads,Facebook,857,42251,1977,235,2.88,2024-11-01,4.68,11.89,1271.06
CMP_0218,Google_Ads,Facebook,6702,74877,1061,112,2.81,2024-11-19,1.42,10.56,-16.44
CMP_0219,Google_Ads,Twitter,7725,26698,467,10,3.24,2024-06-01,1.75,2.14,-93.53
CMP_0220,Email_Campaign,LinkedIn,7054,92412,1441,160,2.24,2024-08-05,1.56,11.1,13.41
CMP_0221,Google_Ads,Facebook,6942,40542,1906,195,2.14,2024-05-25,4.7,10.23,40.45
CMP_0222,Social_Media,LinkedIn,9981,30843,514,11,2.74,2024-06-17,1.67,2.14,-94.49
CMP_0223,Content_Marketing,LinkedIn,2763,5285,251,30,4.1,2024-01-14,4.75,11.95,-45.71
CMP_0224,Social_Media,Google,9381,81760,4079,529,3.04,2024-07-21,4.99,12.97,181.95
CMP_0225,Email_Campaign,Google,8618,4323,70,7,1.85,2024-06-27,1.62,10.0,-95.94
CMP_0226,Social_Media,Instagram,4236,70982,3308,140,3.43,2024-02-23,4.66,4.23,65.25
CMP_0227,Google_Ads,Instagram,7086,96443,2516,303,4.86,2024-10-15,2.61,12.04,113.8
CMP_0228,Social_Media,Facebook,1993,19308,880,71,1.95,2024-09-10,4.56,8.07,78.12
CMP_0229,Social_Media,Instagram,6397,93809,1221,133,0.85,2024-04-15,1.3,10.89,3.95
CMP_0230,Social_Media,Facebook,9640,92552,3296,455,2.92,2024-01-27,3.56,13.8,136.0
CMP_0231,Influencer,Instagram,8510,78032,802,113,1.36,2024-10-09,1.03,14.09,-33.61
CMP_0232,Email_Campaign,LinkedIn,7499,59269,1318,83,4.53,2024-07-10,2.22,6.3,-44.66
CMP_0233,Influencer,Facebook,2707,53213,2017,135,1.52,2024-12-22,3.79,6.69,149.35
CMP_0234,Email_Campaign,LinkedIn,5300,83467,2954,160,3.43,2024-07-08,3.54,5.42,50.94
CMP_0235,Content_Marketing,Twitter,9342,45103,964,97,4.45,2024-10-26,2.14,10.06,-48.08
CMP_0236,Google_Ads,Google,8532,75649,1640,194,3.47,2024-10-16,2.17,11.83,13.69
CMP_0237,Google_Ads,Facebook,6339,62043,956,30,1.21,2024-04-05,1.54,3.14,-76.34
CMP_0238,Influencer,LinkedIn,3047,13703,194,12,4.66,2024-12-13,1.42,6.19,-80.31
CMP_0239,Google_Ads,Instagram,3641,97027,3608,433,4.0,2024-12-06,3.72,12.0,494.62
CMP_0240,Google_Ads,LinkedIn,892,65197,2278,306,2.39,2024-04-14,3.49,13.43,1615.25
CMP_0241,Email_Campaign,Twitter,7519,42196,1618,91,3.48,2024-11-23,3.83,5.62,-39.49
CMP_0242,Email_Campaign,Facebook,8854,69095,2234,89,0.52,2024-02-29,3.23,3.98,-49.74
CMP_0243,Social_Media,Facebook,2208,5617,124,18,1.35,2024-07-17,2.21,14.52,-59.24
CMP_0244,Google_Ads,Facebook,8037,50429,1842,183,1.98,2024-12-16,3.65,9.93,13.85
CMP_0245,Email_Campaign,Email,5904,52316,2133,249,3.19,2024-01-16,4.08,11.67,110.87
CMP_0246,Social_Media,Google,7667,45722,689,80,1.56,2024-02-03,1.51,11.61,-47.83
CMP_0247,Content_Marketing,Email,4547,23429,766,47,2.57,2024-04-09,3.27,6.14,-48.32
CMP_0248,Content_Marketing,Instagram,3045,88657,1737,105,4.61,2024-01-29,1.96,6.04,72.41
CMP_0249,Content_Marketing,Google,8146,43163,1998,175,3.14,2024-01-31,4.63,8.76,7.41
CMP_0250,Influencer,Twitter,2424,94198,4358,186,1.81,2024-04-18,4.63,4.27,283.66
CMP_0251,Google_Ads,Email,4806,79221,3202,167,4.29,2024-09-29,4.04,5.22,73.74
CMP_0252,Google_Ads,Facebook,1632,2795,96,10,4.25,2024-07-25,3.43,10.42,-69.36
CMP_0253,Email_Campaign,Instagram,4516,8293,239,25,3.49,2024-06-24,2.88,10.46,-72.32
CMP_0254,Social_Media,Twitter,8241,33053,1292,27,4.33,2024-02-22,3.91,2.09,-83.62
CMP_0255,Influencer,Facebook,3498,39820,693,57,1.8,2024-10-11,1.74,8.23,-18.52
CMP_0256,Influencer,Email,6728,23908,590,20,2.35,2024-05-16,2.47,3.39,-85.14
CMP_0257,Influencer,Instagram,6011,92734,2201,146,0.69,2024-03-22,2.37,6.63,21.44
CMP_0258,Google_Ads,Google,7721,65836,2568,352,1.62,2024-07-04,3.9,13.71,127.95
CMP_0259,Social_Media,Email,6083,33149,380,22,4.68,2024-05-23,1.15,5.79,-81.92
CMP_0260,Google_Ads,LinkedIn,5095,44723,1909,95,4.52,2024-02-10,4.27,4.98,-6.77
CMP_0261,Influencer,Facebook,3675,50147,734,57,4.16,2024-08-29,1.46,7.77,-22.45
CMP_0262,Email_Campaign,Twitter,5499,56295,2250,158,0.61,2024-10-25,4.0,7.02,43.66
CMP_0263,Google_Ads,Instagram,5727,61697,2260,126,1.7,2024-09-22,3.66,5.58,10.01
